sessao,modelo,mundo,controle,estadoTramas,tipadas,semente,eventos,ligacoes,ligPorEvento,pontes,pontesFusao,articulacoes,porTipo,forcaMedia,nascidas,fechadas,fundidas,propFechadas,propFundidas,propFechadasSemPontes,propFundidasSemPontes,propFechadasFortes,propFundidasFortes,nascidasFortes
vale-silente_claude-cli-claude-opus-5_informa_6ag_jog-nenhum_r01,claude-opus-5,vale-silente,False,informa,False,501,72,147,2.0416666666666665,0,0,1,{},,1,0,0,0.0,0.0,0.0,0.5,0.0,0.0,1
vale-silente_claude-cli-claude-opus-5_nao-informa_6ag_jog-nenhum_r01,claude-opus-5,vale-silente,False,nao-informa,False,501,72,157,2.1805555555555554,0,0,1,{},,2,0,1,0.0,0.5,0.0,0.6666666666666666,0.0,0.5,2
vale-silente_claude-cli-claude-sonnet-4-6_informa_6ag_jog-nenhum_r01,claude-sonnet-4-6,vale-silente,False,informa,False,501,72,134,1.8611111111111112,13,3,13,{},,6,0,5,0.0,0.8333333333333334,0.5,0.3333333333333333,0.0,0.8333333333333334,6
vale-silente_claude-cli-claude-sonnet-4-6_nao-informa_6ag_jog-nenhum_r01,claude-sonnet-4-6,vale-silente,False,nao-informa,False,501,72,140,1.9444444444444444,12,3,13,{},,5,0,4,0.0,0.8,0.4,0.4,0.0,0.8,5
vale-silente_claude-cli-claude-sonnet-5_informa_6ag_jog-nenhum_r01,claude-sonnet-5,vale-silente,False,informa,False,501,72,118,1.6388888888888888,10,1,10,{},,5,1,3,0.2,0.6,0.2,0.6,0.2,0.6,5
vale-silente_claude-cli-claude-sonnet-5_nao-informa_6ag_jog-nenhum_r01,claude-sonnet-5,vale-silente,False,nao-informa,False,501,72,117,1.625,11,2,13,{},,5,1,3,0.2,0.6,0.4,0.6,0.2,0.6,5
porto-das-brumas_claude-cli-claude-haiku-4-5-20251001_controle-tres-atos_jog-investigador_r01,claude-haiku-4-5-20251001,porto-das-brumas,True,nao-informa,False,501,9,15,1.6666666666666667,0,0,1,{},,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
porto-das-brumas_claude-cli-claude-opus-5_controle-tres-atos_jog-investigador_r01,claude-opus-5,porto-das-brumas,True,nao-informa,False,501,12,28,2.3333333333333335,0,0,0,{},,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
porto-das-brumas_claude-cli-claude-sonnet-4-6_controle-tres-atos_jog-investigador_r01,claude-sonnet-4-6,porto-das-brumas,True,nao-informa,False,501,12,19,1.5833333333333333,2,0,3,{},,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
porto-das-brumas_claude-cli-claude-sonnet-5_controle-tres-atos_jog-investigador_r01,claude-sonnet-5,porto-das-brumas,True,nao-informa,False,501,12,15,1.25,6,3,7,{},,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1
vale-silente_claude-cli-claude-haiku-4-5-20251001_controle-tres-atos_jog-investigador_r01,claude-haiku-4-5-20251001,vale-silente,True,nao-informa,False,501,11,26,2.3636363636363638,0,0,0,{},,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
vale-silente_claude-cli-claude-opus-5_controle-tres-atos_jog-investigador_r01,claude-opus-5,vale-silente,True,nao-informa,False,501,12,30,2.5,0,0,0,{},,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
vale-silente_claude-cli-claude-sonnet-4-6_controle-tres-atos_jog-investigador_r01,claude-sonnet-4-6,vale-silente,True,nao-informa,False,501,12,20,1.6666666666666667,0,0,2,{},,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
vale-silente_claude-cli-claude-sonnet-5_controle-tres-atos_jog-investigador_r01,claude-sonnet-5,vale-silente,True,nao-informa,False,501,11,15,1.3636363636363635,4,1,4,{},,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1
